subsample_ratio;accuracy;f1;iteration
 0.0500000000; 57.071; 49.704;0
 0.0500000000; 59.596; 51.220;7
 0.0500000000; 60.101; 55.367;6
 0.1000000000; 56.061; 46.626;2
 0.0500000000; 55.556; 46.988;2
 0.0500000000; 57.576; 55.319;3
 0.0500000000; 58.586; 48.750;4
 0.0500000000; 57.576; 52.273;5
 0.1000000000; 59.596; 55.056;6
 0.1000000000; 58.081; 54.144;4
 0.0500000000; 56.061; 49.123;1
 0.1000000000; 56.566; 52.747;0
 0.1000000000; 56.061; 50.286;1
 0.1000000000; 54.545; 46.429;7
 0.1000000000; 59.596; 58.763;3
 0.1000000000; 53.535; 48.315;5
 0.5000000000; 57.576; 52.273;1
 0.5000000000; 58.081; 49.697;6
 0.5000000000; 60.101; 54.857;2
 0.5000000000; 56.061; 49.711;4
 0.5000000000; 58.081; 49.697;0
 0.5000000000; 55.051; 52.406;3
 0.5000000000; 57.576; 52.273;7
 0.5000000000; 57.071; 51.429;5
