subsample_ratio;accuracy;f1;iteration
 0.0010000000; 66.162; 63.784;26
 0.0050000000; 59.596; 55.556;22
 0.0100000000; 66.667; 64.516;4
 0.0100000000; 65.152; 58.683;5
 0.0100000000; 61.616; 55.294;8
 0.0100000000; 65.657; 64.583;27
 0.0500000000; 62.626; 59.341;16
 0.0500000000; 61.111; 56.000;23
 0.0050000000; 57.071; 54.054;20
 0.0100000000; 58.586; 55.914;31
 0.0050000000; 67.172; 61.078;0
 0.0050000000; 62.121; 59.016;8
 0.0100000000; 64.141; 56.970;0
 0.0100000000; 64.141; 59.887;1
 0.0100000000; 65.152; 63.492;3
 0.0100000000; 66.162; 62.147;6
 0.0100000000; 66.667; 60.714;7
 0.0100000000; 55.556; 52.174;9
 0.0100000000; 62.626; 62.626;10
 0.0100000000; 60.606; 54.118;12
 0.0100000000; 62.626; 57.471;14
 0.0100000000; 67.677; 62.353;15
 0.0100000000; 64.646; 59.770;16
 0.0100000000; 67.172; 60.123;17
 0.0100000000; 57.576; 51.163;24
 0.0100000000; 56.566; 49.412;29
 0.0500000000; 66.162; 60.355;0
 0.0500000000; 60.606; 58.947;6
 0.0500000000; 64.646; 63.158;20
 0.0050000000; 63.131; 62.176;31
 0.0050000000; 67.172; 65.969;26
 0.0500000000; 65.657; 55.844;7
 0.0050000000; 61.616; 57.778;23
 0.0050000000; 61.616; 59.574;28
 0.0010000000; 59.091; 55.738;10
 0.0001000000; 59.596; 51.807;7
 0.0050000000; 59.596; 56.044;12
 0.0500000000; 63.131; 58.286;1
 0.0500000000; 61.111; 57.459;19
 0.0500000000; 61.111; 53.333;30
 0.0050000000; 61.111; 52.174;16
 0.0100000000; 58.586; 52.874;11
 0.0100000000; 63.636; 59.551;20
 0.0100000000; 60.606; 56.180;22
 0.0100000000; 64.646; 58.824;30
 0.0500000000; 63.636; 64.356;3
 0.0500000000; 61.111; 56.497;11
 0.0500000000; 60.101; 54.857;28
 0.0050000000; 62.121; 58.101;2
 0.0500000000; 55.051; 52.910;2
 0.0500000000; 59.596; 55.056;15
 0.0500000000; 63.636; 64.356;25
 0.0500000000; 63.131; 59.669;31
 0.0050000000; 65.657; 64.211;11
 0.0500000000; 64.141; 60.773;5
 0.0500000000; 67.677; 65.591;22
 0.0050000000; 57.576; 55.789;25
 0.0050000000; 63.131; 56.287;21
 0.0050000000; 66.162; 64.550;15
 0.0100000000; 61.111; 54.438;18
 0.0100000000; 62.121; 58.101;19
 0.0100000000; 59.091; 54.237;21
 0.0100000000; 62.626; 59.783;25
 0.0500000000; 62.121; 56.647;4
 0.0500000000; 65.657; 58.537;17
 0.0500000000; 63.131; 63.317;27
 0.0010000000; 64.141; 58.480;14
 0.0005000000; 58.586; 56.383;10
 0.0050000000; 67.172; 67.005;27
 0.0500000000; 62.121; 55.090;24
 0.0005000000; 62.121; 56.140;30
 0.0010000000; 62.121; 60.317;31
 0.0050000000; 61.111; 56.497;18
 0.0100000000; 65.152; 66.010;26
 0.0010000000; 64.141; 59.887;8
 0.0050000000; 64.141; 60.335;6
 0.0010000000; 62.626; 55.422;30
 0.0010000000; 63.131; 60.541;13
 0.0005000000; 66.667; 60.714;21
 0.0050000000; 61.616; 56.818;17
 0.0010000000; 63.636; 58.621;21
 0.0005000000; 63.131; 53.503;14
 0.0005000000; 63.636; 56.627;28
 0.0005000000; 61.111; 54.971;8
 0.0010000000; 59.596; 54.023;19
 0.0010000000; 58.081; 55.135;18
 0.0005000000; 60.606; 58.511;24
 0.0010000000; 64.646; 58.824;5
 0.0050000000; 65.657; 60.920;5
 0.0100000000; 57.071; 53.039;13
 0.0050000000; 63.636; 59.091;13
 0.0050000000; 62.121; 59.893;9
 0.0010000000; 56.061; 54.922;25
 0.0010000000; 56.566; 51.136;9
 0.0010000000; 64.646; 57.831;6
 0.0005000000; 60.606; 53.012;17
 0.0000500000; 56.061; 53.968;30
 0.0050000000; 66.162; 63.388;3
 0.0005000000; 61.111; 57.459;25
 0.0050000000; 60.606; 55.682;30
 0.0500000000; 66.667; 63.736;10
 0.0001000000; 61.111; 57.923;9
 0.0050000000; 64.646; 63.542;10
 0.0500000000; 66.162; 61.272;13
 0.0010000000; 61.111; 57.459;2
 0.0005000000; 62.121; 63.054;3
 0.0001000000; 61.616; 58.242;11
 0.0001000000; 55.556; 50.000;16
 0.0010000000; 62.626; 54.321;17
