subsample_ratio;accuracy;f1;iteration
 0.0031622800; 53.030; 44.311;12
 0.0100000000; 55.051; 49.143;5
 0.0003162300; 55.051; 49.143;7
 0.1000000000; 59.091; 55.738;7
 0.0003162300; 61.111; 57.459;12
 0.1000000000; 57.071; 54.054;1
 0.0003162300; 56.061; 46.626;2
 0.1000000000; 56.061; 49.123;6
 0.0003162300; 52.020; 47.514;10
 0.1000000000; 56.566; 46.250;11
 0.0010000000; 57.576; 52.273;7
 0.0316227800; 59.091; 49.689;12
 0.0003162300; 52.020; 45.714;9
 0.1000000000; 61.616; 56.322;5
 0.0003162300; 61.616; 55.294;4
 0.1000000000; 53.030; 44.970;15
 0.0003162300; 58.081; 52.023;11
 0.1000000000; 51.515; 44.828;12
 0.0003162300; 56.061; 49.123;0
 0.1000000000; 55.051; 49.143;10
 0.0003162300; 51.515; 48.387;1
 0.1000000000; 59.596; 52.941;2
 0.0003162300; 53.030; 42.236;14
 0.1000000000; 52.525; 48.913;14
 0.0003162300; 48.485; 42.045;8
 0.1000000000; 53.535; 47.727;3
 0.0003162300; 54.545; 47.059;15
 0.1000000000; 57.576; 54.348;13
 0.0003162300; 51.515; 44.828;5
 0.1000000000; 58.586; 51.765;9
 0.0003162300; 53.030; 43.636;13
 0.1000000000; 53.535; 45.882;8
 0.0031622800; 52.020; 43.787;15
 0.0100000000; 65.152; 60.116;8
 0.3162277700; 56.566; 50.575;2
 0.0010000000; 56.061; 50.286;12
 0.0100000000; 56.061; 50.286;15
 0.3162277700; 54.040; 47.399;11
 0.0010000000; 54.545; 48.276;4
 0.0100000000; 60.101; 53.254;11
 0.3162277700; 60.101; 57.297;0
 0.0031622800; 56.061; 50.847;14
 0.0100000000; 63.131; 59.669;1
 0.3162277700; 58.081; 53.107;3
 0.0010000000; 54.040; 44.172;10
 0.0316227800; 59.091; 50.307;11
 1.0000000000; 58.586; 52.874;9
 0.0010000000; 51.010; 45.810;1
 0.0316227800; 58.586; 55.435;6
 0.3162277700; 64.646; 62.766;15
 0.0031622800; 56.566; 48.810;10
 0.0100000000; 59.091; 52.632;9
 0.3162277700; 59.596; 54.545;5
 0.0031622800; 59.091; 52.071;8
 0.0100000000; 56.566; 51.685;2
 0.3162277700; 56.061; 51.934;1
 0.0031622800; 59.596; 52.381;6
 0.0316227800; 55.051; 47.953;8
 0.3162277700; 59.091; 53.179;8
 0.0031622800; 54.545; 41.558;0
 0.0100000000; 55.051; 46.061;3
 0.3162277700; 58.081; 52.571;4
 0.0010000000; 59.091; 50.909;13
 0.0316227800; 56.566; 47.561;9
 0.3162277700; 56.566; 50.575;7
 0.0031622800; 52.525; 45.349;7
 0.0100000000; 55.051; 45.399;6
 0.3162277700; 52.020; 46.927;10
 0.0010000000; 58.081; 52.023;2
 0.0100000000; 50.505; 41.667;13
 0.3162277700; 59.091; 56.684;13
 0.0031622800; 53.535; 45.882;4
 0.0100000000; 58.081; 52.023;4
 0.3162277700; 55.051; 46.707;12
 0.0031622800; 54.545; 48.864;9
 0.0100000000; 61.111; 56.000;0
 0.3162277700; 55.051; 46.061;6
 0.0031622800; 59.091; 53.179;3
 0.0316227800; 57.071; 50.292;4
 0.3162277700; 64.646; 61.111;14
 0.0010000000; 53.535; 50.000;6
 0.0316227800; 57.071; 49.704;2
 1.0000000000; 58.586; 52.874;0
 0.0010000000; 52.020; 40.994;3
 0.0316227800; 55.051; 47.337;0
 1.0000000000; 58.586; 52.874;1
 0.0010000000; 58.586; 55.914;0
 0.0100000000; 64.141; 56.970;10
 1.0000000000; 58.586; 52.874;10
 0.0010000000; 57.576; 50.588;9
 0.0100000000; 56.566; 49.412;12
 1.0000000000; 58.586; 52.874;6
 0.0010000000; 59.091; 50.909;8
 0.0316227800; 62.121; 57.627;1
 1.0000000000; 58.586; 52.874;2
 0.0010000000; 57.071; 51.429;15
 0.0316227800; 62.121; 55.090;3
 1.0000000000; 58.586; 52.874;3
 0.0031622800; 56.061; 49.711;5
 0.0316227800; 55.051; 46.061;14
 1.0000000000; 58.586; 52.874;11
 0.0031622800; 52.020; 46.927;13
 0.0100000000; 56.566; 54.255;7
 1.0000000000; 58.586; 52.874;7
 0.0031622800; 61.111; 54.438;2
 0.0316227800; 60.606; 54.118;7
 1.0000000000; 58.586; 52.874;4
 0.0010000000; 60.606; 56.180;14
 0.0316227800; 55.556; 50.000;13
 1.0000000000; 58.586; 52.874;5
 0.0010000000; 54.545; 50.549;11
 0.0316227800; 59.596; 56.522;5
 1.0000000000; 58.586; 52.874;13
 0.0003162300; 52.525; 45.349;6
 0.1000000000; 55.051; 50.279;0
 1.0000000000; 58.586; 52.874;12
 0.0010000000; 52.525; 47.778;5
 0.0316227800; 57.576; 52.809;15
 1.0000000000; 58.586; 52.874;15
 0.0003162300; 57.576; 46.154;3
 0.1000000000; 60.101; 54.857;4
 1.0000000000; 58.586; 52.874;14
 0.0031622800; 55.051; 51.892;1
 0.0100000000; 58.081; 50.299;14
 1.0000000000; 58.586; 52.874;8
 0.0031622800; 60.606; 53.571;11
 0.0316227800; 58.586; 50.000;10
 0.3162277700; 53.030; 43.636;9
