subsample_ratio;accuracy;f1;iteration
 0.0031622800; 57.576; 53.333;0
 0.1000000000; 57.576; 51.163;4
 0.0003162300; 55.556; 49.425;8
 0.1000000000; 58.081; 53.107;7
 0.0003162300; 54.040; 52.850;7
 0.1000000000; 63.131; 55.215;0
 0.0003162300; 55.051; 48.555;10
 0.1000000000; 56.566; 53.261;11
 0.0010000000; 53.030; 47.458;14
 0.0316227800; 50.000; 42.775;4
 0.0010000000; 51.010; 46.995;5
 0.0316227800; 59.091; 53.179;14
 0.0003162300; 50.000; 37.736;13
 0.1000000000; 60.101; 56.831;1
 0.0003162300; 53.535; 43.210;6
 0.1000000000; 60.606; 54.651;10
 0.0003162300; 46.970; 40.678;4
 0.1000000000; 52.020; 46.927;6
 0.0003162300; 52.020; 40.994;5
 0.1000000000; 55.556; 50.000;9
 0.0003162300; 47.980; 39.053;0
 0.1000000000; 58.081; 53.107;13
 0.0003162300; 48.485; 40.000;15
 0.1000000000; 55.051; 47.337;15
 0.0003162300; 51.515; 44.828;12
 0.1000000000; 54.545; 47.674;8
 0.0003162300; 51.515; 44.828;3
 0.1000000000; 52.020; 41.718;3
 0.0003162300; 52.525; 47.191;9
 0.1000000000; 54.545; 51.613;12
 0.0003162300; 56.061; 46.626;1
 0.1000000000; 57.576; 56.701;14
 0.0031622800; 60.101; 53.801;14
 0.0100000000; 65.657; 60.920;9
 0.3162277700; 55.051; 49.143;4
 0.0031622800; 50.505; 43.023;12
 0.0100000000; 55.051; 47.337;12
 0.3162277700; 58.081; 47.799;14
 0.0010000000; 52.525; 44.048;13
 0.0316227800; 49.495; 40.476;1
 0.3162277700; 56.566; 50.575;6
 0.0031622800; 55.556; 49.425;15
 0.0100000000; 57.576; 51.724;14
 0.3162277700; 51.010; 43.931;15
 0.0010000000; 52.020; 43.787;12
 0.0316227800; 56.566; 52.747;3
 0.3162277700; 57.071; 53.039;5
 0.0031622800; 53.535; 47.126;9
 0.0100000000; 57.071; 52.514;1
 0.3162277700; 54.040; 46.154;0
 0.0031622800; 57.576; 48.780;5
 0.0100000000; 59.091; 51.497;0
 0.3162277700; 52.020; 44.444;2
 0.0031622800; 59.596; 54.023;13
 0.0100000000; 53.535; 47.727;3
 0.3162277700; 60.606; 55.682;1
 0.0010000000; 52.020; 39.490;7
 0.0316227800; 58.586; 51.190;10
 0.3162277700; 58.081; 53.631;7
 0.0010000000; 57.576; 52.809;4
 0.0316227800; 64.141; 60.335;11
 0.3162277700; 57.071; 50.867;10
 0.0003162300; 50.000; 43.429;11
 0.1000000000; 53.030; 45.614;5
 1.0000000000; 52.020; 42.424;15
 0.0010000000; 58.586; 51.190;6
 0.0100000000; 57.071; 50.867;10
 0.3162277700; 51.515; 41.463;11
 0.0031622800; 59.091; 52.632;10
 0.0100000000; 57.071; 51.429;2
 0.3162277700; 56.061; 50.286;9
 0.0010000000; 54.545; 52.632;8
 0.0100000000; 58.586; 53.409;11
 0.3162277700; 56.566; 51.685;12
 0.0031622800; 56.566; 50.575;2
 0.0100000000; 57.576; 53.333;5
 0.3162277700; 59.091; 54.237;13
 0.0031622800; 67.677; 65.217;4
 0.0100000000; 55.556; 48.837;8
 0.3162277700; 51.515; 45.455;8
 0.0010000000; 59.596; 52.941;0
 0.0316227800; 56.566; 50.000;9
 0.3162277700; 54.545; 47.059;3
 0.0031622800; 59.091; 53.179;8
 0.0100000000; 55.556; 48.235;4
 1.0000000000; 52.020; 42.424;1
 0.0031622800; 55.051; 46.061;6
 0.0316227800; 62.121; 55.621;5
 1.0000000000; 52.020; 42.424;4
 0.0031622800; 58.586; 50.602;1
 0.0100000000; 53.030; 50.794;6
 1.0000000000; 52.020; 42.424;0
 0.0010000000; 55.556; 50.562;9
 0.0316227800; 54.040; 46.784;0
 1.0000000000; 52.020; 42.424;2
 0.0031622800; 50.505; 45.556;11
 0.0100000000; 52.020; 43.114;7
 1.0000000000; 52.020; 42.424;3
 0.0010000000; 55.556; 48.235;15
 0.0100000000; 56.566; 50.575;15
 1.0000000000; 52.020; 42.424;11
 0.0003162300; 62.121; 57.627;2
 0.1000000000; 56.061; 51.397;2
 1.0000000000; 52.020; 42.424;13
 0.0031622800; 59.596; 50.000;3
 0.0100000000; 63.636; 59.091;13
 1.0000000000; 52.020; 42.424;6
 0.0003162300; 61.111; 50.955;14
 0.0316227800; 61.111; 52.174;15
 1.0000000000; 52.020; 42.424;9
 0.0010000000; 55.051; 46.061;10
 0.0316227800; 61.616; 57.303;12
 1.0000000000; 52.020; 42.424;12
 0.0010000000; 55.556; 51.648;2
 0.0316227800; 50.000; 40.000;7
 1.0000000000; 52.020; 42.424;7
 0.0010000000; 53.030; 45.614;11
 0.0316227800; 57.576; 49.398;6
 1.0000000000; 52.020; 42.424;10
 0.0010000000; 50.505; 47.312;1
 0.0316227800; 53.535; 43.210;13
 1.0000000000; 52.020; 42.424;8
 0.0010000000; 53.030; 48.045;3
 0.0316227800; 61.616; 55.814;2
 1.0000000000; 52.020; 42.424;5
 0.0031622800; 57.071; 49.704;7
 0.0316227800; 57.576; 53.846;8
 1.0000000000; 52.020; 42.424;14
