subsample_ratio;accuracy;f1;iteration
 0.5000000000; 53.535; 47.126;15
 0.0500000000; 55.051; 51.892;29
 0.0500000000; 54.040; 50.273;3
 0.5000000000; 61.616; 54.762;16
 0.0500000000; 58.586; 53.409;11
 0.5000000000; 59.091; 56.216;29
 0.0500000000; 57.071; 54.054;13
 0.0500000000; 61.111; 54.971;17
 0.0500000000; 53.030; 46.857;4
 0.1000000000; 54.545; 47.059;9
 0.1000000000; 52.525; 42.683;28
 0.0500000000; 61.111; 56.000;6
 0.0500000000; 60.606; 54.118;24
 0.1000000000; 57.576; 48.148;8
 0.0500000000; 60.606; 55.172;5
 0.0500000000; 65.152; 57.669;16
 0.0500000000; 61.111; 53.892;7
 0.0500000000; 61.616; 57.778;25
 0.5000000000; 54.040; 48.000;12
 0.0500000000; 55.051; 45.399;28
 0.0500000000; 57.071; 49.704;19
