subsample_ratio;accuracy;f1;iteration
 0.5000000000; 59.596; 54.023;0
 1.0000000000; 54.040; 47.399;6
 1.0000000000; 58.586; 50.602;5
 0.5000000000; 63.131; 60.541;1
 1.0000000000; 61.111; 53.892;4
 1.0000000000; 63.131; 58.757;0
 1.0000000000; 56.061; 49.711;2
 1.0000000000; 55.556; 55.102;3
 0.0050000000; 56.061; 50.286;6
 0.5000000000; 53.030; 48.619;4
 0.0050000000; 59.091; 53.179;4
 0.5000000000; 55.051; 50.279;3
 0.0500000000; 50.000; 48.168;3
 0.0500000000; 58.081; 50.888;6
 0.0050000000; 58.586; 55.435;1
 0.5000000000; 53.030; 50.267;6
 0.0050000000; 50.505; 41.667;5
 0.5000000000; 55.051; 46.707;7
 0.0005000000; 54.545; 50.549;5
 0.0050000000; 55.051; 50.829;3
 0.1000000000; 54.040; 47.399;6
 1.0000000000; 55.051; 47.953;7
 0.0010000000; 48.990; 37.267;1
 0.0010000000; 58.081; 50.299;5
 0.5000000000; 57.576; 52.273;2
 0.0100000000; 54.545; 54.082;3
 0.0005000000; 63.636; 61.290;4
 0.0050000000; 57.071; 51.977;7
 0.0005000000; 55.051; 47.953;1
 0.0010000000; 54.545; 50.549;6
 0.0010000000; 51.010; 46.409;7
 0.0005000000; 52.525; 46.591;6
 0.0100000000; 63.636; 60.000;2
 0.0100000000; 55.556; 53.191;6
 0.0100000000; 58.081; 51.462;5
 0.0005000000; 52.020; 48.649;2
 0.0010000000; 56.061; 54.450;3
 0.0010000000; 59.091; 52.632;0
 0.0005000000; 63.131; 56.805;0
 0.0500000000; 64.141; 58.960;2
 0.0500000000; 58.586; 52.874;4
 0.1000000000; 57.576; 54.839;4
 0.0100000000; 52.525; 47.778;4
 0.1000000000; 59.596; 52.381;5
 0.0010000000; 50.000; 42.105;2
 0.0500000000; 54.545; 51.087;1
 0.0050000000; 59.596; 50.617;0
 0.1000000000; 58.081; 55.135;1
 0.0005000000; 50.000; 44.693;7
 0.0010000000; 60.101; 53.254;4
 0.0500000000; 60.606; 53.012;7
 0.0050000000; 56.061; 50.286;2
 0.0100000000; 65.657; 56.410;0
 0.1000000000; 47.980; 43.094;2
 0.0500000000; 59.091; 52.071;5
 0.0100000000; 59.596; 51.220;7
 0.1000000000; 58.081; 52.023;3
 0.1000000000; 59.596; 52.381;0
 0.0005000000; 58.081; 56.545;3
 0.0100000000; 54.040; 48.588;1
 0.0500000000; 56.566; 50.575;0
 0.1000000000; 54.545; 47.674;7
 1.0000000000; 58.081; 53.107;1
 0.5000000000; 55.556; 48.837;5
